id    | role    | slots                          | source                                   | destination                              | 
33    | rider   |                     [8, 9, 10] | (-121.94813201175181, 37.53347865648984) | (-122.08460438775145, 37.369354656180064) | 
34    | driver  |                       [10, 11] | (-121.93613756508084, 37.5039493576141) | (-122.04062933029938, 37.38680807436232) | 
35    | rider   |               [11, 12, 13, 14] | (-122.00236988660521, 37.55585064997178) | (-122.1302573498488, 37.4801784542058) | 
36    | rider   |                   [4, 5, 6, 7] | (-122.00962562791639, 37.55724765831357) | (-122.14149008478505, 37.4751330279355) | 
37    | rider   |                      [2, 3, 4] | (-122.00522930349541, 37.55785726001412) | (-122.16040810111402, 37.48270467608823) | 
38    | rider   |                 [8, 9, 10, 11] | (-121.94615925984078, 37.50204536150979) | (-122.23254194946217, 37.508993763479) | 
39    | rider   |                 [8, 9, 10, 11] | (-121.93712925300595, 37.49531024373869) | (-122.12919631717142, 37.45414528117171) | 
40    | rider   |                    [9, 10, 11] | (-122.00739698153895, 37.562581561873216) | (-122.25437123777274, 37.47913490485784) | 
41    | rider   |                   [10, 11, 12] | (-121.98049442508884, 37.56131990734995) | (-122.06409852025395, 37.39118286863979) | 
42    | rider   |             [4, 5, 6, 7, 8, 9] | (-121.95485791428321, 37.532948479537374) | (-122.14438347022863, 37.457678999769065) | 
43    | rider   |                      [5, 6, 7] | (-121.97634588768675, 37.563463210231625) | (-122.23583837486422, 37.48925159360217) | 
44    | rider   |                [9, 10, 11, 12] | (-121.97991999316443, 37.559699435694085) | (-122.22839530329158, 37.46772966357594) | 
45    | rider   |                   [10, 11, 12] | (-121.97188641318928, 37.559984651698066) | (-122.23292372110011, 37.49473632780403) | 
46    | rider   |       [6, 7, 8, 9, 10, 11, 12] | (-122.00422790723508, 37.55472365921431) | (-122.12552090171164, 37.45548040867009) | 
47    | rider   |                [9, 10, 11, 12] | (-121.95320006481863, 37.53228336795665) | (-122.15988933194063, 37.45415225445476) | 
48    | rider   |                        [9, 10] | (-121.95515192443266, 37.53510516116768) | (-122.12113147760901, 37.46778230232154) | 
49    | driver  |                       [11, 12] | (-121.97742144852187, 37.55797655503302) | (-122.21231877389604, 37.50743079602189) | 
50    | rider   |                      [5, 6, 7] | (-121.97781428905704, 37.559450370600494) | (-122.22999844165031, 37.457588752656214) | 
51    | rider   |                         [6, 7] | (-121.95063341586136, 37.53586542404127) | (-122.1692556000519, 37.50085383331476) | 
52    | driver  |                   [6, 7, 8, 9] | (-122.0038088401321, 37.55385130985347) | (-122.22448239798005, 37.48225965462019) | 
53    | driver  |               [10, 11, 12, 13] | (-121.94587937738129, 37.49827317925973) | (-122.07875821304009, 37.356051301239425) | 
54    | rider   |                  [7, 8, 9, 10] | (-121.93944059365748, 37.50198759407376) | (-122.12143991954078, 37.440789107009095) | 
55    | rider   |                     [8, 9, 10] | (-121.95333376905965, 37.53468427497164) | (-122.1153678587903, 37.473295560680484) | 
56    | rider   |                         [4, 5] | (-121.93795050396434, 37.5029035455533) | (-122.23638950249656, 37.4878169365835) | 
57    | driver  |                      [4, 5, 6] | (-121.97892742670058, 37.55766515258602) | (-122.24025048101558, 37.4689572699462) | 
58    | driver  |                [9, 10, 11, 12] | (-122.00579145710527, 37.55471380751018) | (-122.08923283129006, 37.38888283876743) | 
59    | rider   |                         [8, 9] | (-121.93245095255274, 37.50340651822516) | (-122.14317236441121, 37.46338770796255) | 
60    | rider   |                            [9] | (-121.93821047767635, 37.497048327669745) | (-122.0893555185228, 37.41417760957046) | 
61    | driver  |                       [10, 11] | (-121.94613892083319, 37.53217934411764) | (-122.06560237183318, 37.381421085018054) | 
62    | driver  |                   [3, 4, 5, 6] | (-122.00359109963539, 37.55333578615118) | (-122.22712612066142, 37.51531353569607) | 
63    | rider   |                      [4, 5, 6] | (-121.97233811444707, 37.553669809560226) | (-122.07759265256672, 37.369172148148394) | 
64    | rider   |                         [5, 6] | (-121.94410168246364, 37.500291283005915) | (-122.1453001502983, 37.466694463776406) | 
65    | driver  |                  [7, 8, 9, 10] | (-122.00624114003277, 37.5602005882375) | (-122.22792071619294, 37.48846808738365) | 
66    | driver  |                      [5, 6, 7] | (-121.94126554927557, 37.49759369686755) | (-122.07889766933444, 37.372053511104426) | 
67    | driver  |                       [10, 11] | (-122.00431439690387, 37.55886575327412) | (-122.15770679247834, 37.46751797291236) | 
68    | driver  |        [9, 10, 11, 12, 13, 14] | (-121.94447490227569, 37.503028298147214) | (-122.22048449518837, 37.49590694103666) | 
69    | rider   |               [6, 7, 8, 9, 10] | (-122.0102170794203, 37.55430672553115) | (-122.14901160600225, 37.44214357514276) | 
70    | driver  |                      [6, 7, 8] | (-122.00932950524393, 37.55680744021847) | (-122.11155545593577, 37.445712824030224) | 
71    | driver  |                      [6, 7, 8] | (-121.95585572380071, 37.52557830360079) | (-122.07518658679633, 37.39639285748863) | 
72    | driver  |                         [5, 6] | (-121.94264936451727, 37.49663315199822) | (-122.08885161087808, 37.36943501811107) | 
73    | rider   |                         [8, 9] | (-121.95316853755124, 37.532325108186406) | (-122.09422189636328, 37.38107733049601) | 
74    | driver  |                      [6, 7, 8] | (-122.0093389689822, 37.56054700551143) | (-122.25547008960608, 37.50119999663617) | 
75    | rider   |                 [8, 9, 10, 11] | (-121.95214671689702, 37.53331136836551) | (-122.07734977553581, 37.37416350187201) | 
76    | rider   |                      [7, 8, 9] | (-122.00338701491792, 37.55960787922534) | (-122.08921879657856, 37.387568659649894) | 
77    | driver  |                   [11, 12, 13] | (-121.95222985410815, 37.53339687788101) | (-122.11381775328412, 37.477337791960835) | 
78    | rider   |                   [5, 6, 7, 8] | (-121.94012541788767, 37.501851561305536) | (-122.26510271672112, 37.48645496859963) | 
79    | rider   |    [5, 6, 7, 8, 9, 10, 11, 12] | (-122.00915067076347, 37.56384145303529) | (-122.09203844915858, 37.40749567007543) | 
80    | rider   |                            [6] | (-121.9493758160601, 37.536940998648895) | (-122.05366779976049, 37.38981780337193) | 
81    | rider   |                  [7, 8, 9, 10] | (-121.95257317358879, 37.53178741707247) | (-122.23426806506785, 37.481693268264685) | 
82    | driver  |                [1, 2, 3, 4, 5] | (-122.00389662978634, 37.55452894850765) | (-122.13292475454823, 37.44106826419342) | 
83    | rider   |                           [11] | (-121.93815768687092, 37.50314846488113) | (-122.07585112049121, 37.38574717027325) | 
84    | rider   |    [5, 6, 7, 8, 9, 10, 11, 12] | (-121.9535491463496, 37.53152025285916) | (-122.24639743011168, 37.49135215725997) | 
85    | driver  |                   [5, 6, 7, 8] | (-121.95373545059286, 37.5311036376944) | (-122.10861495096592, 37.383814772152114) | 
86    | rider   |                        [9, 10] | (-121.97657507183173, 37.557789831555) | (-122.27301254342306, 37.46782382934996) | 
87    | rider   |               [11, 12, 13, 14] | (-122.01378878293922, 37.55717052272649) | (-122.04715897447683, 37.382590401348146) | 
88    | rider   |                       [10, 11] | (-122.00732289092986, 37.558865171729494) | (-122.15993718215748, 37.468441437452746) | 
89    | driver  |          [7, 8, 9, 10, 11, 12] | (-121.93942324284772, 37.501605232589455) | (-122.1286732799646, 37.4696695572618) | 
90    | rider   |                       [10, 11] | (-121.97990461517705, 37.5553663543147) | (-122.12234214723938, 37.474447109556294) | 
91    | rider   |                      [3, 4, 5] | (-121.93936239481981, 37.500467036273314) | (-122.22875926694581, 37.46611413966662) | 
92    | driver  |          [7, 8, 9, 10, 11, 12] | (-121.95264514759137, 37.525145537618926) | (-122.09523205308356, 37.41670091451807) | 
93    | driver  |                     [8, 9, 10] | (-121.97789393452351, 37.55809517575872) | (-122.24250396801891, 37.49628460491643) | 
94    | rider   |                      [4, 5, 6] | (-121.93663898412626, 37.49921632978504) | (-122.13615184355851, 37.473194526894616) | 
95    | driver  |                         [7, 8] | (-121.94424946373083, 37.4970930783976) | (-122.24265871176202, 37.51489899661907) | 
96    | rider   |                   [6, 7, 8, 9] | (-121.94809227255047, 37.535945863753035) | (-122.23538430022846, 37.47449145425444) | 
97    | rider   |           [10, 11, 12, 13, 14] | (-121.9778700841024, 37.55690981915341) | (-122.2479328168315, 37.50332109142365) | 
98    | rider   |                         [7, 8] | (-121.98120240473018, 37.560052937057186) | (-122.14703213286396, 37.46748510347028) | 
99    | rider   |                         [8, 9] | (-121.97261472563069, 37.556678622225355) | (-122.1645814660492, 37.50611784230226) | 
100   | driver  |                   [5, 6, 7, 8] | (-121.94569924973813, 37.503963695006306) | (-122.2237654348271, 37.448962407154426) | 
101   | rider   |                       [10, 11] | (-121.95684172311631, 37.53242933849403) | (-122.24313544973394, 37.459066389579924) | 
102   | rider   |                   [10, 11, 12] | (-121.95467763647487, 37.52642905693667) | (-122.12450143168145, 37.38860333806683) | 
103   | rider   |                      [7, 8, 9] | (-122.00302344621409, 37.56027310262824) | (-122.08022884694546, 37.426637882209846) | 
104   | driver  |                   [10, 11, 12] | (-121.95200500081963, 37.53726348411985) | (-122.23886778477338, 37.50779492747043) | 
105   | rider   |                   [6, 7, 8, 9] | (-121.9725918328448, 37.55659131930034) | (-122.14421561814117, 37.468451206764804) | 
106   | driver  |                        [9, 10] | (-121.94094411353566, 37.496668746415835) | (-122.08542329747898, 37.40654936187739) | 
107   | driver  |                     [8, 9, 10] | (-122.01387891605756, 37.559759588675504) | (-122.11068273598137, 37.357318945609734) | 
108   | rider   |     [4, 5, 6, 7, 8, 9, 10, 11] | (-121.95413566705598, 37.53683095575249) | (-122.05322817888559, 37.40705562571581) | 
109   | driver  |                      [5, 6, 7] | (-121.97726333111703, 37.55757028173891) | (-122.11494811941532, 37.37771073954373) | 
110   | driver  |                         [8, 9] | (-122.00668339247045, 37.56199706870719) | (-122.23931304980005, 37.4795020408143) | 
111   | driver  |                        [9, 10] | (-121.97470238249467, 37.56219802375986) | (-122.1117579528884, 37.360752405795154) | 
112   | rider   |                      [5, 6, 7] | (-121.97717837795939, 37.55151852588534) | (-122.10077392971483, 37.37783319550762) | 
113   | rider   |          [3, 4, 5, 6, 7, 8, 9] | (-121.93809315368705, 37.495892900585005) | (-122.11199558537653, 37.45148920759527) | 
114   | driver  |                [9, 10, 11, 12] | (-121.98021258479784, 37.563516747828444) | (-122.14865807511518, 37.45734732750939) | 
115   | rider   |                           [11] | (-121.95163788099396, 37.52688714557332) | (-122.1421468723962, 37.47219398809746) | 
116   | rider   |                         [7, 8] | (-122.0104306660406, 37.56248982687876) | (-122.07622519235127, 37.390332393799156) | 
117   | rider   |                         [8, 9] | (-121.97292760672852, 37.55692770888923) | (-122.12872831188204, 37.37812672884044) | 
118   | rider   |                      [4, 5, 6] | (-121.95688341483097, 37.52984534726933) | (-122.08902506835116, 37.36113838067781) | 
119   | rider   |                       [11, 12] | (-121.95303342089753, 37.53227762085464) | (-122.26575040447581, 37.515663395455384) | 
120   | rider   |                [9, 10, 11, 12] | (-121.97838831047112, 37.55715576976375) | (-122.09626361635996, 37.39426526717265) | 
121   | rider   |                   [4, 5, 6, 7] | (-121.95468829682552, 37.53132288918774) | (-122.16815281282895, 37.449936034947676) | 
122   | driver  |                      [6, 7, 8] | (-122.0081551860315, 37.55440245850278) | (-122.10937033580328, 37.37760914250535) | 
123   | rider   |                   [6, 7, 8, 9] | (-121.94017805205347, 37.505692119716095) | (-122.15530819298462, 37.442286365662355) | 
124   | rider   |           [10, 11, 12, 13, 14] | (-122.00784575753177, 37.55930263535911) | (-122.13839388554018, 37.46290842213898) | 
125   | rider   |        [9, 10, 11, 12, 13, 14] | (-121.98295027350798, 37.55376511695889) | (-122.07099124923575, 37.391767988187866) | 
126   | driver  |                      [2, 3, 4] | (-121.93825226550462, 37.49869317477259) | (-122.10116619462559, 37.3783674475761) | 
127   | driver  |                            [6] | (-121.93999529237384, 37.49604703366026) | (-122.22197958292209, 37.480503693394574) | 
128   | rider   |                        [9, 10] | (-122.006484307885, 37.56339400344753) | (-122.07937269064831, 37.367360934027005) | 
129   | driver  |  [7, 8, 9, 10, 11, 12, 13, 14] | (-121.95397316607504, 37.53913340886843) | (-122.123902018207, 37.4626802463306) | 
130   | rider   |      [7, 8, 9, 10, 11, 12, 13] | (-121.9540331354385, 37.52546662517711) | (-122.25091342584378, 37.4839667437573) | 
131   | driver  |                  [7, 8, 9, 10] | (-121.97900043971632, 37.5619217110809) | (-122.13122647369914, 37.47927739780457) | 
132   | rider   |                        [9, 10] | (-121.94772361316718, 37.52984916325316) | (-122.25306680434629, 37.4845987312278) | 
133   | driver  |                [9, 10, 11, 12] | (-121.95578744829962, 37.53524615606559) | (-122.24854329410064, 37.463423488937664) | 
134   | driver  |                         [6, 7] | (-121.93942052988649, 37.501252894463825) | (-122.21277370014286, 37.507893664330105) | 
135   | rider   |                [2, 3, 4, 5, 6] | (-121.97883230153631, 37.56053020584659) | (-122.08031764415213, 37.3634869230992) | 
136   | driver  |                      [6, 7, 8] | (-121.97833284877014, 37.558472837946624) | (-122.06491885166882, 37.388284395793775) | 
137   | driver  |                      [5, 6, 7] | (-121.9444150783086, 37.49883354886761) | (-122.1312673508452, 37.43744891927087) | 
138   | driver  |                         [2, 3] | (-122.00843820820786, 37.56259710101091) | (-122.0892632955064, 37.383565760961694) | 
139   | driver  |       [6, 7, 8, 9, 10, 11, 12] | (-122.00674011770195, 37.55434848427366) | (-122.23017215951444, 37.5073037990846) | 
140   | rider   |                         [8, 9] | (-121.97469710074489, 37.556025722170574) | (-122.08758265090141, 37.387945255397625) | 
141   | rider   |                         [4, 5] | (-121.97359743580921, 37.56385077458681) | (-122.12182696759533, 37.4757685156581) | 
142   | driver  |                  [7, 8, 9, 10] | (-122.00193403303264, 37.55752018049784) | (-122.2361107288987, 37.487846367935475) | 
143   | rider   |                [3, 4, 5, 6, 7] | (-121.93902758121911, 37.499053958223264) | (-122.10933670701857, 37.442024885730625) | 
144   | rider   |                        [9, 10] | (-122.00360811960952, 37.56200431227923) | (-122.05997201772198, 37.36812087552563) | 
145   | rider   |                      [2, 3, 4] | (-121.98222559403257, 37.558751633349715) | (-122.08385170059071, 37.38604257008871) | 
146   | driver  |                  [7, 8, 9, 10] | (-121.97539028905231, 37.55948152517452) | (-122.08332404302325, 37.3827081755527) | 
147   | rider   |                         [6, 7] | (-121.97678086136516, 37.557609125141504) | (-122.14398162380849, 37.468415296062496) | 
148   | driver  |             [8, 9, 10, 11, 12] | (-121.95082719361731, 37.53580940149654) | (-122.24224449066043, 37.50003329239887) | 
149   | rider   |                      [6, 7, 8] | (-121.97649438830813, 37.55854436422826) | (-122.08736567485005, 37.42432026839172) | 
150   | driver  |                      [3, 4, 5] | (-121.97813536048476, 37.55799791159558) | (-122.21294440131854, 37.47774314906385) | 
151   | rider   |                     [8, 9, 10] | (-121.95324789374392, 37.532262471836326) | (-122.1426108862406, 37.468115747686724) | 
152   | rider   |                   [11, 12, 13] | (-121.9559716752638, 37.53480409358031) | (-122.26767557702044, 37.466874606101534) | 
153   | driver  |                         [8, 9] | (-121.94001404393366, 37.50224374007513) | (-122.12523075675189, 37.47502510883481) | 
154   | driver  |                            [3] | (-122.00092806968057, 37.55590687952392) | (-122.09883596797995, 37.35550505806133) | 
155   | rider   |             [2, 3, 4, 5, 6, 7] | (-122.00577327514814, 37.557211403233445) | (-122.05598650382058, 37.354432610422776) | 
156   | rider   |                      [5, 6, 7] | (-121.93651095766958, 37.50304358375555) | (-122.15552336626192, 37.46805068051137) | 
157   | rider   |                     [8, 9, 10] | (-121.95056335469246, 37.53607905299213) | (-122.05988637093336, 37.41398173121042) | 
158   | driver  |                      [4, 5, 6] | (-121.9512863358171, 37.53356405465635) | (-122.15631246291244, 37.47499917828553) | 
159   | driver  |                  [7, 8, 9, 10] | (-121.94357960957653, 37.505914568176145) | (-122.21655629996775, 37.51448017753251) | 
160   | rider   |                         [5, 6] | (-121.94027275238119, 37.50127646515596) | (-122.13036235969183, 37.49338615295802) | 
161   | rider   |                    [9, 10, 11] | (-121.97244235571047, 37.55404505204265) | (-122.15284210609953, 37.454626930858694) | 
162   | driver  |    [5, 6, 7, 8, 9, 10, 11, 12] | (-121.94988660878715, 37.53579255175001) | (-122.10918154659184, 37.49091363699146) | 
163   | driver  |                      [6, 7, 8] | (-121.95679973906186, 37.53546484977587) | (-122.1351500120123, 37.47144903729829) | 
164   | rider   |                       [12, 13] | (-121.95012241571243, 37.52839357215221) | (-122.24901333501677, 37.474790146973454) | 
165   | driver  |                       [11, 12] | (-121.95248170264726, 37.53323930655145) | (-122.10053509828177, 37.464455590431136) | 
166   | driver  |                   [6, 7, 8, 9] | (-121.95290521180439, 37.53130927306151) | (-122.22457507631316, 37.45214533897704) | 
167   | rider   |                         [8, 9] | (-121.97841825627073, 37.555767252275935) | (-122.14712851720337, 37.426216108860615) | 
168   | driver  |                           [10] | (-122.0048454296835, 37.560766645400854) | (-122.0848079204034, 37.394659987609465) | 
169   | rider   |                         [6, 7] | (-121.94319566952916, 37.49680411048175) | (-122.1259329168935, 37.46040212784348) | 
170   | rider   |                   [4, 5, 6, 7] | (-121.93492375399052, 37.50373570985574) | (-122.0788593858719, 37.383528010471004) | 
171   | rider   |                       [10, 11] | (-121.95198522368295, 37.52784731189732) | (-122.18520021004485, 37.48485807707774) | 
172   | rider   |                   [10, 11, 12] | (-121.93873262329717, 37.49972495585685) | (-122.12437195569693, 37.48433107546122) | 
173   | driver  |                  [7, 8, 9, 10] | (-121.94738898300402, 37.53635456774177) | (-122.09105931561078, 37.37569101351624) | 
174   | rider   |                        [9, 10] | (-122.0018697736782, 37.557841616716104) | (-122.04188137858303, 37.379928000576946) | 
175   | rider   |                         [8, 9] | (-122.00687087092759, 37.558571846162835) | (-122.22573886158894, 37.51273450036152) | 
176   | rider   |              [7, 8, 9, 10, 11] | (-121.95795392548092, 37.52833662676509) | (-122.24330442525199, 37.51187102262276) | 
177   | rider   |                         [5, 6] | (-122.0063645878697, 37.558334581218425) | (-122.2108317093446, 37.46030934704148) | 
178   | rider   |                     [8, 9, 10] | (-121.94546731037481, 37.50587413775442) | (-122.09724061284426, 37.378959492249955) | 
179   | rider   |                      [7, 8, 9] | (-122.00191612131547, 37.559102030784246) | (-122.03988361398235, 37.3975972752279) | 
180   | rider   |          [3, 4, 5, 6, 7, 8, 9] | (-122.00046683276888, 37.5589207217883) | (-122.12424282765504, 37.448711990988585) | 
181   | driver  |                [9, 10, 11, 12] | (-121.93884829022129, 37.5053841454726) | (-122.20808655686574, 37.479530059603896) | 
182   | driver  |                           [10] | (-121.93487078333922, 37.50533567360014) | (-122.15740173122275, 37.49261068778488) | 
183   | rider   |                 [8, 9, 10, 11] | (-121.95406093217743, 37.53386090702621) | (-122.2531743116734, 37.46055316104143) | 
184   | rider   |                       [12, 13] | (-121.97808815303863, 37.5583812246863) | (-122.09261928099777, 37.380842709321946) | 
185   | rider   |                   [3, 4, 5, 6] | (-121.9997741365054, 37.55931756407528) | (-122.07536172799581, 37.37927192513559) | 
186   | rider   |                        [9, 10] | (-121.95611937381516, 37.53289457916952) | (-122.12444195459993, 37.43974242734723) | 
187   | driver  |                   [6, 7, 8, 9] | (-121.93436600211194, 37.50183806600848) | (-122.13633519658839, 37.45187327095099) | 
188   | rider   |                   [4, 5, 6, 7] | (-121.97440457642142, 37.560237593119595) | (-122.2514828127915, 37.46607521215963) | 
189   | rider   |                           [10] | (-122.00880069697367, 37.55971073927885) | (-122.19391598402659, 37.47640651212897) | 
190   | rider   |                       [11, 12] | (-121.94928822871842, 37.53163315018018) | (-122.20353649861067, 37.46572064164875) | 
191   | rider   |                      [7, 8, 9] | (-121.93971390662277, 37.50248927509537) | (-122.10002892945943, 37.39718122360189) | 
192   | rider   |                        [9, 10] | (-122.00584771396552, 37.55110121576176) | (-122.2445557749219, 37.49124908321737) | 
193   | driver  |                   [4, 5, 6, 7] | (-122.00637902653817, 37.558473357860855) | (-122.14353880623752, 37.469207154292725) | 
194   | driver  |                   [11, 12, 13] | (-121.98093834544078, 37.55489291051022) | (-122.24175279528139, 37.46682159398816) | 
195   | rider   |                   [1, 2, 3, 4] | (-121.95494264187252, 37.52670692746584) | (-122.23624208985922, 37.4906490007053) | 
196   | rider   |   [6, 7, 8, 9, 10, 11, 12, 13] | (-121.97237083993193, 37.561359650391786) | (-122.0808103671505, 37.384578432270544) | 
197   | rider   |                         [7, 8] | (-121.95322195954624, 37.53227728680538) | (-122.08520136122097, 37.36160453529322) | 
198   | driver  |                            [8] | (-122.0066985090326, 37.555368027202796) | (-122.23268854680042, 37.47179093854396) | 
199   | rider   |                [9, 10, 11, 12] | (-121.95298318998826, 37.53165832881529) | (-122.23626790652632, 37.4882003020684) | 
200   | driver  |               [6, 7, 8, 9, 10] | (-122.00662534976742, 37.55856706007004) | (-122.23706836260254, 37.48958688696288) | 
201   | rider   |                            [6] | (-121.97549843992275, 37.561138145322055) | (-122.16258097987335, 37.48224513657498) | 
202   | driver  |                   [5, 6, 7, 8] | (-121.95795679165624, 37.532694102728215) | (-122.13865803388414, 37.46918155353422) | 
203   | rider   |                      [6, 7, 8] | (-121.98075829499746, 37.55780175154103) | (-122.1391323032119, 37.46939850722279) | 
204   | rider   |                 [8, 9, 10, 11] | (-122.01187736684264, 37.560830243132116) | (-122.05537050876369, 37.412875367752505) | 
205   | rider   |                    [9, 10, 11] | (-122.00635618080958, 37.55635687080348) | (-122.23583147862627, 37.445412673372374) | 
206   | rider   |                [5, 6, 7, 8, 9] | (-122.00224858943251, 37.5584276504549) | (-122.23427575747237, 37.486125696538636) | 
207   | driver  |                      [7, 8, 9] | (-121.93972626653668, 37.50519062093973) | (-122.24558632867844, 37.461843654548844) | 
208   | driver  |        [5, 6, 7, 8, 9, 10, 11] | (-121.94618055551658, 37.53321377034997) | (-122.23506684145808, 37.485725787262396) | 
209   | driver  |                   [12, 13, 14] | (-122.00889170162708, 37.55651780865038) | (-122.15161776008853, 37.46687600873064) | 
210   | driver  |                        [9, 10] | (-121.97386207278531, 37.559919045538386) | (-122.14115782431027, 37.453552683763824) | 
211   | driver  |               [6, 7, 8, 9, 10] | (-121.95462103604626, 37.532579965703334) | (-122.24828642857847, 37.52384608124631) | 
212   | rider   |                      [2, 3, 4] | (-121.97437950584238, 37.55744196881775) | (-122.227496865679, 37.483307515918305) | 
213   | driver  |                   [10, 11, 12] | (-121.95920307996624, 37.53271467635375) | (-122.26257092674156, 37.498827259221464) | 
214   | rider   |                            [3] | (-121.97942622526672, 37.55798415643778) | (-122.07943358445765, 37.38694294514665) | 
215   | rider   |                    [9, 10, 11] | (-121.9403399089841, 37.50186779011013) | (-122.14202248611579, 37.4599897200111) | 
216   | driver  |                         [8, 9] | (-122.00136792454143, 37.55721952930707) | (-122.25488738077802, 37.49944144410723) | 
217   | driver  |                   [11, 12, 13] | (-122.00329149715388, 37.55837381405962) | (-122.07292645277938, 37.42699799194584) | 
218   | rider   |              [7, 8, 9, 10, 11] | (-121.97247839475008, 37.558614581095895) | (-122.08155089884002, 37.34297632644205) | 
219   | rider   |                   [4, 5, 6, 7] | (-122.01313755381345, 37.555003826708315) | (-122.10450445806366, 37.42226516374676) | 
220   | rider   |                  [7, 8, 9, 10] | (-121.96026290174488, 37.532045799760084) | (-122.08612695814473, 37.38666145938442) | 
221   | rider   |                   [10, 11, 12] | (-121.93250068211398, 37.500963981802435) | (-122.16119652222791, 37.465599613187514) | 
222   | driver  |                         [8, 9] | (-122.00916619223207, 37.55785965786531) | (-122.05956348608372, 37.36243294180016) | 
223   | rider   |                         [5, 6] | (-121.97648563063055, 37.55683849118357) | (-122.23327931198378, 37.471733931749725) | 
224   | driver  |                         [6, 7] | (-121.95282996598338, 37.53298828003447) | (-122.27416223218859, 37.49125470492967) | 
225   | driver  |             [2, 3, 4, 5, 6, 7] | (-121.97832509549177, 37.55810897747764) | (-122.09465752439992, 37.39552791745522) | 
